,order,species,adult_body_mass_g,adult_head_body_len_mm,home_range_km2,litter_size,habitat
3538,Artiodactyla,Phacochoerus aethiopicus,75607.52,NA,1.35,3.2,T
3539,Artiodactyla,Phacochoerus africanus,82499.99,1355.54,1.55,NA,T
3572,Artiodactyla,Philantomba maxwellii,8557.69,845.23,NA,1,T
3573,Artiodactyla,Philantomba monticola,4896.05,692.3,NA,0.98,T
3814,Artiodactyla,Potamochoerus larvatus,69063.79,NA,4.47,2.73,T
3815,Artiodactyla,Potamochoerus porcus,70000.31,1369.3,NA,3,T
3858,Artiodactyla,Procapra gutturosa,28274.27,1243.28,NA,1.41,T
3859,Artiodactyla,Procapra picticaudata,23197.67,980,NA,1,T
3860,Artiodactyla,Procapra przewalskii,27499.99,NA,NA,NA,T
3869,Artiodactyla,Przewalskium albirostris,161681.9,NA,NA,1,T
3896,Artiodactyla,Pseudois nayaur,52334.57,1299.99,NA,1.22,T
3897,Artiodactyla,Pseudois schaeferi,29249.99,NA,NA,NA,T
3713,Artiodactyla,Pseudoryx nghetinhensis,97842.2,1750,NA,NA,T
3967,Artiodactyla,Pudu mephistophiles,9599.96,NA,NA,1,T
3968,Artiodactyla,Pudu puda,9642.62,NA,0.17,1.22,T
4034,Artiodactyla,Rangifer tarandus,109088.5,2224.35,2771.22,2,T
4035,Artiodactyla,Raphicerus campestris,11661.53,824.99,0.43,0.98,T
4036,Artiodactyla,Raphicerus melanotis,10503.14,NA,NA,NA,T
4037,Artiodactyla,Raphicerus sharpei,9396.9,679.99,NA,1,T
4108,Artiodactyla,Redunca arundinum,58059.24,1505,NA,0.98,T
4109,Artiodactyla,Redunca fulvorufula,29352.66,1230,0.07,NA,T
4110,Artiodactyla,Redunca redunca,43288.95,1150,NA,1,T
4004,Artiodactyla,Rucervus duvaucelii,171223.86,1500,14.11,1,T
4005,Artiodactyla,Rucervus eldii,95471.61,1650,NA,1.01,T
4006,Artiodactyla,Rucervus schomburgki,107626.42,NA,NA,NA,T
4007,Artiodactyla,Rupicapra pyrenaica,29999.99,NA,NA,NA,T
4008,Artiodactyla,Rupicapra rupicapra,33266.35,NA,2.65,1,T
4009,Artiodactyla,Rusa alfredi,46475.04,NA,NA,NA,T
4010,Artiodactyla,Rusa marianna,49457.61,1255,NA,NA,T
4011,Artiodactyla,Rusa timorensis,66375.5,1634.99,NA,1,T
3975,Artiodactyla,Rusa unicolor,177522.9,2040,NA,1,T
4258,Artiodactyla,Saiga borealis,NA,NA,NA,NA,T
4259,Artiodactyla,Saiga tatarica,37734.01,1160,NA,1.5,T
4731,Artiodactyla,Sus ahoenobarbus,NA,NA,NA,NA,T
4732,Artiodactyla,Sus barbatus,135805.95,1349.99,NA,6.59,T
4733,Artiodactyla,Sus bucculentus,NA,NA,NA,NA,T
4734,Artiodactyla,Sus cebifrons,190792.3,1349.99,NA,4.58,T
4735,Artiodactyla,Sus celebensis,53813.21,NA,NA,3.24,T
4736,Artiodactyla,Sus oliveri,NA,NA,NA,NA,T
4737,Artiodactyla,Sus philippensis,190792.3,1349.99,NA,6.24,T
4738,Artiodactyla,Sus salvanius,7974.13,599.66,0.15,3.66,T
4739,Artiodactyla,Sus scrofa,84471.54,1349.99,1.18,4.52,T
4740,Artiodactyla,Sus verrucosus,89406.23,1250,NA,5.47,T
4744,Artiodactyla,Sylvicapra grimmia,15639.15,960.71,NA,0.98,T
4777,Artiodactyla,Syncerus caffer,592665.98,2525.86,63.73,1.08,T
5149,Artiodactyla,Taurotragus derbianus,646024.25,2522.02,NA,NA,T
5150,Artiodactyla,Taurotragus oryx,562592.69,2656.78,195.15,1,T
5152,Artiodactyla,Tayassu pecari,31798.71,1110,40.97,2,T
5154,Artiodactyla,Tetracerus quadricornis,19282.12,1000,NA,1.65,T
5264,Artiodactyla,Tragelaphus angasii,87616.76,1935.86,1.63,1,T
5265,Artiodactyla,Tragelaphus buxtoni,215000.75,2249.44,NA,1,T
5266,Artiodactyla,Tragelaphus eurycerus,270998.37,2274.99,NA,1,T
5267,Artiodactyla,Tragelaphus imberbis,94320.39,1675,NA,1,T
4651,Artiodactyla,Tragelaphus scriptus,43250.39,1247.1,0.02,1,T
4652,Artiodactyla,Tragelaphus spekii,75554.25,1520.84,NA,1,T
4653,Artiodactyla,Tragelaphus strepsiceros,206056.41,2199.99,835.1,1,T
4654,Artiodactyla,Tragulus javanicus,1889.93,514.29,NA,0.98,T
4655,Artiodactyla,Tragulus kanchil,NA,NA,NA,NA,T
4656,Artiodactyla,Tragulus napu,5273.67,562.36,NA,0.96,T
4657,Artiodactyla,Tragulus nigricans,NA,NA,NA,NA,T
4658,Artiodactyla,Tragulus versicolor,NA,NA,NA,NA,T
4659,Artiodactyla,Tragulus williamsoni,NA,NA,NA,NA,T
5361,Artiodactyla,Vicugna vicugna,47499.61,1575,0.12,1,T
4893,Carnivora,Acinonyx jubatus,50577.92,1480.43,88.27,3.28,T
4575,Carnivora,Ailuropoda melanoleuca,117999.99,1345.98,3.55,1.62,T
4578,Carnivora,Ailurus fulgens,5170.08,582.32,1.43,1.7,T
5034,Carnivora,Aonyx capensis,19322.22,815.2,99.74,2.62,T
5035,Carnivora,Aonyx cinerea,3527.59,516.47,NA,1.47,T
5080,Carnivora,Arctictis binturong,12999.99,785.15,NA,2.5,T
5083,Carnivora,Arctocephalus australis,67979.43,1647.58,NA,1,M
5084,Carnivora,Arctocephalus forsteri,101249.99,1701.17,NA,1,M
5085,Carnivora,Arctocephalus galapagoensis,39448.04,1352.21,NA,1,M
5086,Carnivora,Arctocephalus gazella,96599.99,1568.56,NA,1,M
5087,Carnivora,Arctocephalus philippii,94999.99,1694.94,NA,1,M
5088,Carnivora,Arctocephalus pusillus,178500,1899.33,NA,1,M
5089,Carnivora,Arctocephalus townsendi,101063.71,1704.41,NA,1,M
5090,Carnivora,Arctocephalus tropicalis,92222.55,1620.16,NA,1.4,M
5091,Carnivora,Arctogalidia trivirgata,2323.79,526.9,NA,2.79,M
5092,Carnivora,Arctonyx collaris,8166.52,690.22,NA,3,T
119,Carnivora,Atelocynus microtis,8363.22,831.01,NA,NA,T
122,Carnivora,Atilax paludinosus,3600.16,499.01,1.73,2,T
605,Carnivora,Bassaricyon alleni,NA,NA,NA,NA,T
606,Carnivora,Bassaricyon beddardi,1235.01,NA,NA,NA,T
607,Carnivora,Bassaricyon gabbii,1250,411.27,NA,1,T
608,Carnivora,Bassaricyon lasius,1200,NA,NA,NA,T
609,Carnivora,Bassaricyon pauli,1200,NA,NA,NA,T
610,Carnivora,Bassariscus astutus,1010.37,338.98,0.74,3,T
611,Carnivora,Bassariscus sumichrasti,906,423.73,NA,2,T
619,Carnivora,Bdeogale crassicauda,1722.13,444.53,NA,0.96,T
620,Carnivora,Bdeogale jacksoni,2500,NA,NA,NA,T
621,Carnivora,Bdeogale nigripes,2623.01,611.37,NA,1,T
82,Carnivora,Callorhinus ursinus,55464.82,1734.82,NA,1.04,M
2,Carnivora,Canis adustus,10392.49,745.32,1.01,4.5,T
3,Carnivora,Canis aureus,9658.7,827.53,2.95,3.74,T
4,Carnivora,Canis latrans,11989.1,872.39,18.88,5.72,T
5,Carnivora,Canis lupus,31756.51,1055,159.86,4.98,T
29,Carnivora,Canis mesomelas,8247.3,707.27,11.93,3.89,T
30,Carnivora,Canis simensis,14361.86,938.19,4.2,NA,T
755,Carnivora,Caracal caracal,11964.38,739.28,293.94,2.3,T
774,Carnivora,Catopuma badia,3429.52,548.4,NA,NA,T
775,Carnivora,Catopuma temminckii,7726.46,887.35,NA,1.5,T
193,Carnivora,Cerdocyon thous,5741.66,648.06,1.41,3.09,T
873,Carnivora,Chrotogale owstoni,3267.71,570.29,NA,NA,T
882,Carnivora,Chrysocyon brachyurus,23325,1245.72,21.36,2,T
887,Carnivora,Civettictis civetta,12075.58,790.14,NA,2.31,T
909,Carnivora,Conepatus chinga,NA,NA,NA,NA,T
910,Carnivora,Conepatus humboldtii,1097.61,353.19,0.1,3.49,T
911,Carnivora,Conepatus leuconotus,3293.91,421.41,NA,3.6,T
912,Carnivora,Conepatus semistriatus,1997.34,NA,0.27,3.49,T
1014,Carnivora,Crocuta crocuta,63369.98,1300.11,21.93,1.91,T
1015,Carnivora,Crossarchus alexandri,1503.4,448.99,NA,4,T
1016,Carnivora,Crossarchus ansorgei,700,325.52,NA,NA,T
1017,Carnivora,Crossarchus obscurus,1395.09,338.98,NA,4.29,T
1018,Carnivora,Crossarchus platycephalus,NA,NA,NA,NA,T
1037,Carnivora,Cryptoprocta ferox,9500,726.04,0.75,2.98,T
1132,Carnivora,Cuon alpinus,15800,987.74,33.64,4.3,T
1136,Carnivora,Cynictis penicillata,694.41,291.87,1.89,2.15,T
1138,Carnivora,Cynogale bennettii,4246.57,624.54,NA,2.3,T
1156,Carnivora,Cystophora cristata,278896.81,2323.06,NA,1,M
484,Carnivora,Diplogale hosei,NA,599.13,NA,NA,T
1231,Carnivora,Dologale dybowskii,361.92,289.15,NA,4,T
1250,Carnivora,Dusicyon australis,NA,957.14,NA,NA,T
1270,Carnivora,Eira barbara,4134.99,612.64,11.4,2.14,T
1277,Carnivora,Enhydra lutris,27410.93,1435.71,3.43,0.96,M
340,Carnivora,Erignathus barbatus,279999.99,2293.15,NA,1,M
569,Carnivora,Eumetopias jubatus,382466.74,2692.71,NA,0.96,M
951,Carnivora,Eupleres goudotii,2763.34,549.99,NA,1,T
1394,Carnivora,Felis bieti,5486.95,783.95,NA,NA,T
1395,Carnivora,Felis catus,2884.8,NA,1.41,NA,T
1396,Carnivora,Felis chaus,7157.99,704.16,NA,2.94,T
1397,Carnivora,Felis manul,3050,573.28,NA,4.83,T
1398,Carnivora,Felis margarita,2823.36,511.33,NA,4.12,T
1399,Carnivora,Felis nigripes,1362.77,400.05,NA,1.78,T
1442,Carnivora,Felis silvestris,4573.08,498.51,1.29,3.59,T
1446,Carnivora,Fossa fossana,1853.98,456.88,0.75,1,T
578,Carnivora,Galerella flavescens,750,NA,NA,NA,T
579,Carnivora,Galerella ochracea,NA,NA,NA,NA,T
580,Carnivora,Galerella pulverulenta,791.4,349.38,3.81,2.25,T
581,Carnivora,Galerella sanguinea,543.83,329.01,0.66,2.5,T
582,Carnivora,Galictis cuja,1000,423.29,NA,NA,T
583,Carnivora,Galictis vittata,NA,NA,NA,NA,T
584,Carnivora,Galidia elegans,810,351.07,0.17,1,T
585,Carnivora,Galidictis fasciata,549.99,318.31,NA,1,T
586,Carnivora,Galidictis grandidieri,1400,359.99,NA,1,T
597,Carnivora,Genetta abyssinica,1405.48,422.85,NA,NA,T
598,Carnivora,Genetta angolensis,1859.64,472.01,NA,NA,T
357,Carnivora,Genetta bourloni,NA,NA,NA,NA,T
358,Carnivora,Genetta cristata,1863.23,515,NA,2.5,T
359,Carnivora,Genetta genetta,1756.17,552.44,10.9,2.29,T
360,Carnivora,Genetta johnstoni,2225,NA,NA,NA,T
